"Presentation / Pack Level","VMP / VMPP/ AMP / AMPP","BNF Code","BNF Name","SNOMED Code","DM+D: Product Description","Strength","Unit Of Measure","DM+D: Product and Pack Description","Pack","Sub-pack"
"Pack","AMPP","0603020T0AAAGAG","Prednisolone 5mg gastro-resistant tablets","18307311000001107","Prednisolone 5mg gastro-resistant tablets (Teva UK Ltd)",5,"tablet","Prednisolone 5mg gastro-resistant (Teva UK Ltd) 28 tablets",28,"2 x 14 tablets"
"Pack","AMPP","0603020T0AAAGAG","Prednisolone 5mg gastro-resistant tablets","20593711000001101","Prednisolone 5mg gastro-resistant tablets (Teva UK Ltd)",5,"tablet","Prednisolone 5mg gastro-resistant (Teva UK Ltd) 30 tablets",30,"3 x 10 tablets"
"Presentation","AMP","0603020T0AAAGAG","Prednisolone 5mg gastro-resistant tablets","19743211000001104","Prednisolone 5mg gastro-resistant tablets (Almus Pharmaceuticals Ltd)",5,,,,
"Pack","AMPP","0603020T0AAAGAG","Prednisolone 5mg gastro-resistant tablets","19743311000001107","Prednisolone 5mg gastro-resistant tablets (Almus Pharmaceuticals Ltd)",5,"tablet","Prednisolone 5mg gastro-resistant (Almus Pharmaceuticals Ltd) 28 tablets",28,
"Presentation","AMP","0603020T0AAAGAG","Prednisolone 5mg gastro-resistant tablets","22453011000001108","Prednisolone 5mg gastro-resistant tablets (Waymade Healthcare Plc)",5,,,,
"Pack","AMPP","0603020T0AAAGAG","Prednisolone 5mg gastro-resistant tablets","22453111000001109","Prednisolone 5mg gastro-resistant tablets (Waymade Healthcare Plc)",5,"tablet","Prednisolone 5mg gastro-resistant (Waymade Healthcare Plc) 30 tablets",30,
"Presentation","AMP","0603020T0AAAGAG","Prednisolone 5mg gastro-resistant tablets","30114311000001108","Prednisolone 5mg gastro-resistant tablets (DE Pharmaceuticals)",5,,,,
"Pack","AMPP","0603020T0AAAGAG","Prednisolone 5mg gastro-resistant tablets","30114411000001101","Prednisolone 5mg gastro-resistant tablets (DE Pharmaceuticals)",5,"tablet","Prednisolone 5mg gastro-resistant (DE Pharmaceuticals) 28 tablets",28,
"Pack","AMPP","0603020T0AAAGAG","Prednisolone 5mg gastro-resistant tablets","30114511000001102","Prednisolone 5mg gastro-resistant tablets (DE Pharmaceuticals)",5,"tablet","Prednisolone 5mg gastro-resistant (DE Pharmaceuticals) 30 tablets",30,
"Presentation","AMP","0603020T0AAAGAG","Prednisolone 5mg gastro-resistant tablets","34444511000001106","Prednisolone 5mg gastro-resistant tablets (Bristol Laboratories Ltd)",5,,,,
"Pack","AMPP","0603020T0AAAGAG","Prednisolone 5mg gastro-resistant tablets","34444611000001105","Prednisolone 5mg gastro-resistant tablets (Bristol Laboratories Ltd)",5,"tablet","Prednisolone 5mg gastro-resistant (Bristol Laboratories Ltd) 28 tablets",28,"2 x 14 tablets"
"Presentation","AMP","0603020T0AAAGAG","Prednisolone 5mg gastro-resistant tablets","37130611000001106","Prednisolone 5mg gastro-resistant tablets (Mawdsley-Brooks & Company Ltd)",5,,,,
"Pack","AMPP","0603020T0AAAGAG","Prednisolone 5mg gastro-resistant tablets","37130811000001105","Prednisolone 5mg gastro-resistant tablets (Mawdsley-Brooks & Company Ltd)",5,"tablet","Prednisolone 5mg gastro-resistant (Mawdsley-Brooks & Company Ltd) 28 tablets",28,
"Presentation","AMP","0603020T0AAAGAG","Prednisolone 5mg gastro-resistant tablets","39204911000001106","Prednisolone 5mg gastro-resistant tablets (Medihealth (Northern) Ltd)",5,,,,
"Pack","AMPP","0603020T0AAAGAG","Prednisolone 5mg gastro-resistant tablets","39205011000001106","Prednisolone 5mg gastro-resistant tablets (Medihealth (Northern) Ltd)",5,"tablet","Prednisolone 5mg gastro-resistant (Medihealth (Northern) Ltd) 28 tablets",28,
"Presentation","VMP","0603020T0AAAAAA","Prednisolone 1mg tablets","325426006","Prednisolone 1mg tablets",1,,,,
"Pack","VMPP","0603020T0AAAAAA","Prednisolone 1mg tablets","976211000001106","Prednisolone 1mg tablets",1,"tablet","Prednisolone 1mg 28 tablets",28,
"Pack","VMPP","0603020T0AAAAAA","Prednisolone 1mg tablets","1312311000001101","Prednisolone 1mg tablets",1,"tablet","Prednisolone 1mg 500 tablets",500,
"Pack","VMPP","0603020T0AAAAAA","Prednisolone 1mg tablets","1065811000001103","Prednisolone 1mg tablets",1,"tablet","Prednisolone 1mg 1000 tablets",1000,
"Pack","VMPP","0603020T0AAAAAA","Prednisolone 1mg tablets","14786511000001104","Prednisolone 1mg tablets",1,"tablet","Prednisolone 1mg 100 tablets",100,
"Presentation","AMP","0603020T0AAAAAA","Prednisolone 1mg tablets","649711000001109","Prednisolone 1mg tablets (A A H Pharmaceuticals Ltd)",1,,,,
"Pack","AMPP","0603020T0AAAAAA","Prednisolone 1mg tablets","1428811000001107","Prednisolone 1mg tablets (A A H Pharmaceuticals Ltd)",1,"tablet","Prednisolone 1mg (A A H Pharmaceuticals Ltd) 28 tablets",28,"2 x 14 tablets"
"Presentation","AMP","0603020T0AAAAAA","Prednisolone 1mg tablets","646211000001106","Prednisolone 1mg tablets (Accord Healthcare Ltd)",1,,,,
"Pack","AMPP","0603020T0AAAAAA","Prednisolone 1mg tablets","1429011000001106","Prednisolone 1mg tablets (Accord Healthcare Ltd)",1,"tablet","Prednisolone 1mg (Accord Healthcare Ltd) 28 tablets",28,"2 x 14 tablets"
"Presentation","AMP","0603020T0AAAAAA","Prednisolone 1mg tablets","238511000001107","Prednisolone 1mg tablets (Teva UK Ltd)",1,,,,
"Pack","AMPP","0603020T0AAAAAA","Prednisolone 1mg tablets","1429211000001101","Prednisolone 1mg tablets (Teva UK Ltd)",1,"tablet","Prednisolone 1mg (Teva UK Ltd) 28 tablets",28,
"Presentation","AMP","0603020T0AAAAAA","Prednisolone 1mg tablets","798611000001108","Prednisolone 1mg tablets (The Boots Company Plc)",1,,,,
"Pack","AMPP","0603020T0AAAAAA","Prednisolone 1mg tablets","1429411000001102","Prednisolone 1mg tablets (The Boots Company Plc)",1,"tablet","Prednisolone 1mg (The Boots Company Plc) 28 tablets",28,
"Presentation","AMP","0603020T0AAAAAA","Prednisolone 1mg tablets","844111000001103","Prednisolone 1mg tablets (Wockhardt UK Ltd)",1,,,,
"Pack","AMPP","0603020T0AAAAAA","Prednisolone 1mg tablets","1429611000001104","Prednisolone 1mg tablets (Wockhardt UK Ltd)",1,"tablet","Prednisolone 1mg (Wockhardt UK Ltd) 28 tablets",28,"2 x 14 tablets"
"Presentation","AMP","0603020T0AAAAAA","Prednisolone 1mg tablets","707911000001100","Prednisolone 1mg tablets (Kent Pharma (UK) Ltd)",1,,,,
"Pack","AMPP","0603020T0AAAAAA","Prednisolone 1mg tablets","1429711000001108","Prednisolone 1mg tablets (Kent Pharma (UK) Ltd)",1,"tablet","Prednisolone 1mg (Kent Pharma (UK) Ltd) 28 tablets",28,"2 x 14 tablets"
"Pack","AMPP","0603020T0AAAAAA","Prednisolone 1mg tablets","1429911000001105","Prednisolone 1mg tablets (Kent Pharma (UK) Ltd)",1,"tablet","Prednisolone 1mg (Kent Pharma (UK) Ltd) 500 tablets",500,
"Presentation","AMP","0603020T0AAAAAA","Prednisolone 1mg tablets","52911000001107","Prednisolone 1mg tablets (Alliance Healthcare (Distribution) Ltd)",1,,,,
"Pack","AMPP","0603020T0AAAAAA","Prednisolone 1mg tablets","1430411000001109","Prednisolone 1mg tablets (Alliance Healthcare (Distribution) Ltd)",1,"tablet","Prednisolone 1mg (Alliance Healthcare (Distribution) Ltd) 28 tablets",28,"2 x 14 tablets"
"Pack","AMPP","0603020T0AAAAAA","Prednisolone 1mg tablets","1430611000001107","Prednisolone 1mg tablets (Alliance Healthcare (Distribution) Ltd)",1,"tablet","Prednisolone 1mg (Alliance Healthcare (Distribution) Ltd) 1000 tablets",1000,
"Presentation","AMP","0603020T0AAAAAA","Prednisolone 1mg tablets","9807711000001108","Prednisolone 1mg tablets (Almus Pharmaceuticals Ltd)",1,,,,
"Pack","AMPP","0603020T0AAAAAA","Prednisolone 1mg tablets","9807811000001100","Prednisolone 1mg tablets (Almus Pharmaceuticals Ltd)",1,"tablet","Prednisolone 1mg (Almus Pharmaceuticals Ltd) 28 tablets",28,"2 x 14 tablets"
"Presentation","AMP","0603020T0AAAAAA","Prednisolone 1mg tablets","10409611000001103","Prednisolone 1mg tablets (Arrow Generics Ltd)",1,,,,
"Pack","AMPP","0603020T0AAAAAA","Prednisolone 1mg tablets","10409811000001104","Prednisolone 1mg tablets (Arrow Generics Ltd)",1,"tablet","Prednisolone 1mg (Arrow Generics Ltd) 28 tablets",28,
"Presentation","AMP",,,"13245311000001104","Prednisolone 1mg tablets (Dowelhurst Ltd)",1,,,,
"Pack","AMPP",,,"13245411000001106","Prednisolone 1mg tablets (Dowelhurst Ltd)",1,"tablet","Prednisolone 1mg (Dowelhurst Ltd) 28 tablets",28,
"Presentation","AMP","0603020T0AAAAAA","Prednisolone 1mg tablets","14786411000001103","Prednisolone 1mg tablets (Boston Healthcare Ltd)",1,,,,
"Pack","AMPP","0603020T0AAAAAA","Prednisolone 1mg tablets","14786611000001100","Prednisolone 1mg tablets (Boston Healthcare Ltd)",1,"tablet","Prednisolone 1mg (Boston Healthcare Ltd) 100 tablets",100,
"Presentation","AMP","0603020T0AAAAAA","Prednisolone 1mg tablets","15175511000001102","Prednisolone 1mg tablets (Sigma Pharmaceuticals Plc)",1,,,,
"Pack","AMPP","0603020T0AAAAAA","Prednisolone 1mg tablets","15175611000001103","Prednisolone 1mg tablets (Sigma Pharmaceuticals Plc)",1,"tablet","Prednisolone 1mg (Sigma Pharmaceuticals Plc) 100 tablets",100,
"Presentation","AMP","0603020T0AAAAAA","Prednisolone 1mg tablets","18285011000001109","Prednisolone 1mg tablets (Strides Pharma UK Ltd)",1,,,,
"Pack","AMPP","0603020T0AAAAAA","Prednisolone 1mg tablets","18285111000001105","Prednisolone 1mg tablets (Strides Pharma UK Ltd)",1,"tablet","Prednisolone 1mg (Strides Pharma UK Ltd) 28 tablets",28,"2 x 14 tablets"
"Presentation","AMP","0603020T0AAAAAA","Prednisolone 1mg tablets","21851211000001107","Prednisolone 1mg tablets (Waymade Healthcare Plc)",1,,,,
"Pack","AMPP","0603020T0AAAAAA","Prednisolone 1mg tablets","21851311000001104","Prednisolone 1mg tablets (Waymade Healthcare Plc)",1,"tablet","Prednisolone 1mg (Waymade Healthcare Plc) 28 tablets",28,
"Presentation","AMP","0603020T0AAAAAA","Prednisolone 1mg tablets","30114811000001104","Prednisolone 1mg tablets (DE Pharmaceuticals)",1,,,,
"Pack","AMPP","0603020T0AAAAAA","Prednisolone 1mg tablets","30114911000001109","Prednisolone 1mg tablets (DE Pharmaceuticals)",1,"tablet","Prednisolone 1mg (DE Pharmaceuticals) 28 tablets",28,
"Presentation","AMP","0603020T0AAAAAA","Prednisolone 1mg tablets","30858911000001100","Prednisolone 1mg tablets (Mawdsley-Brooks & Company Ltd)",1,,,,
"Pack","AMPP","0603020T0AAAAAA","Prednisolone 1mg tablets","30859011000001109","Prednisolone 1mg tablets (Mawdsley-Brooks & Company Ltd)",1,"tablet","Prednisolone 1mg (Mawdsley-Brooks & Company Ltd) 28 tablets",28,
"Presentation","AMP","0603020T0AAAAAA","Prednisolone 1mg tablets","32807911000001101","Prednisolone 1mg tablets (Genesis Pharmaceuticals Ltd)",1,,,,
"Pack","AMPP","0603020T0AAAAAA","Prednisolone 1mg tablets","32808011000001104","Prednisolone 1mg tablets (Genesis Pharmaceuticals Ltd)",1,"tablet","Prednisolone 1mg (Genesis Pharmaceuticals Ltd) 28 tablets",28,"2 x 14 tablets"
"Presentation","AMP","0603020T0AAAAAA","Prednisolone 1mg tablets","39169011000001106","Prednisolone 1mg tablets (Medihealth (Northern) Ltd)",1,,,,
"Pack","AMPP","0603020T0AAAAAA","Prednisolone 1mg tablets","39169111000001107","Prednisolone 1mg tablets (Medihealth (Northern) Ltd)",1,"tablet","Prednisolone 1mg (Medihealth (Northern) Ltd) 28 tablets",28,
"Presentation","VMP","0603020T0AAACAC","Prednisolone 5mg tablets","325427002","Prednisolone 5mg tablets",5,,,,
"Pack","VMPP","0603020T0AAACAC","Prednisolone 5mg tablets","1085511000001104","Prednisolone 5mg tablets",5,"tablet","Prednisolone 5mg 28 tablets",28,
"Pack","VMPP","0603020T0AAACAC","Prednisolone 5mg tablets","1167211000001103","Prednisolone 5mg tablets",5,"tablet","Prednisolone 5mg 1000 tablets",1000,
"Pack","VMPP","0603020T0AAACAC","Prednisolone 5mg tablets","14786711000001109","Prednisolone 5mg tablets",5,"tablet","Prednisolone 5mg 100 tablets",100,
"Pack","VMPP","0603020T0AAACAC","Prednisolone 5mg tablets","28798911000001106","Prednisolone 5mg tablets",5,"tablet","Prednisolone 5mg 30 tablets",30,
"Presentation","AMP","0603020T0AAACAC","Prednisolone 5mg tablets","876911000001107","Prednisolone 5mg tablets (A A H Pharmaceuticals Ltd)",5,,,,
"Pack","AMPP","0603020T0AAACAC","Prednisolone 5mg tablets","1431411000001100","Prednisolone 5mg tablets (A A H Pharmaceuticals Ltd)",5,"tablet","Prednisolone 5mg (A A H Pharmaceuticals Ltd) 28 tablets",28,"2 x 14 tablets"
"Presentation","AMP","0603020T0AAACAC","Prednisolone 5mg tablets","85511000001101","Prednisolone 5mg tablets (Accord Healthcare Ltd)",5,,,,
"Pack","AMPP","0603020T0AAACAC","Prednisolone 5mg tablets","1431711000001106","Prednisolone 5mg tablets (Accord Healthcare Ltd)",5,"tablet","Prednisolone 5mg (Accord Healthcare Ltd) 28 tablets",28,"2 x 14 tablets"
"Presentation","AMP","0603020T0AAACAC","Prednisolone 5mg tablets","110811000001100","Prednisolone 5mg tablets (Teva UK Ltd)",5,,,,
"Pack","AMPP","0603020T0AAACAC","Prednisolone 5mg tablets","1431911000001108","Prednisolone 5mg tablets (Teva UK Ltd)",5,"tablet","Prednisolone 5mg (Teva UK Ltd) 28 tablets",28,
"Presentation","AMP","0603020T0AAACAC","Prednisolone 5mg tablets","86711000001103","Prednisolone 5mg tablets (The Boots Company Plc)",5,,,,
"Pack","AMPP","0603020T0AAACAC","Prednisolone 5mg tablets","1432311000001103","Prednisolone 5mg tablets (The Boots Company Plc)",5,"tablet","Prednisolone 5mg (The Boots Company Plc) 28 tablets",28,
"Presentation","AMP","0603020T0AAACAC","Prednisolone 5mg tablets","940311000001100","Prednisolone 5mg tablets (Wockhardt UK Ltd)",5,,,,
"Pack","AMPP","0603020T0AAACAC","Prednisolone 5mg tablets","1432611000001108","Prednisolone 5mg tablets (Wockhardt UK Ltd)",5,"tablet","Prednisolone 5mg (Wockhardt UK Ltd) 28 tablets",28,"2 x 14 tablets"
"Pack","AMPP","0603020T0AAACAC","Prednisolone 5mg tablets","13382311000001107","Prednisolone 5mg tablets (Wockhardt UK Ltd)",5,"tablet","Prednisolone 5mg (Wockhardt UK Ltd) 1000 tablets",1000,
"Presentation","AMP","0603020T0AAACAC","Prednisolone 5mg tablets","350611000001104","Prednisolone 5mg tablets (Kent Pharma (UK) Ltd)",5,,,,
"Pack","AMPP","0603020T0AAACAC","Prednisolone 5mg tablets","1433211000001100","Prednisolone 5mg tablets (Kent Pharma (UK) Ltd)",5,"tablet","Prednisolone 5mg (Kent Pharma (UK) Ltd) 28 tablets",28,
"Pack","AMPP","0603020T0AAACAC","Prednisolone 5mg tablets","1433311000001108","Prednisolone 5mg tablets (Kent Pharma (UK) Ltd)",5,"tablet","Prednisolone 5mg (Kent Pharma (UK) Ltd) 1000 tablets",1000,
"Presentation","AMP","0603020T0AAACAC","Prednisolone 5mg tablets","772111000001107","Prednisolone 5mg tablets (Alliance Healthcare (Distribution) Ltd)",5,,,,
"Pack","AMPP","0603020T0AAACAC","Prednisolone 5mg tablets","1433511000001102","Prednisolone 5mg tablets (Alliance Healthcare (Distribution) Ltd)",5,"tablet","Prednisolone 5mg (Alliance Healthcare (Distribution) Ltd) 28 tablets",28,"2 x 14 tablets"
"Pack","AMPP","0603020T0AAACAC","Prednisolone 5mg tablets","1433711000001107","Prednisolone 5mg tablets (Alliance Healthcare (Distribution) Ltd)",5,"tablet","Prednisolone 5mg (Alliance Healthcare (Distribution) Ltd) 1000 tablets",1000,
"Presentation","AMP","0603020T0AAACAC","Prednisolone 5mg tablets","9807911000001105","Prednisolone 5mg tablets (Almus Pharmaceuticals Ltd)",5,,,,
"Pack","AMPP","0603020T0AAACAC","Prednisolone 5mg tablets","9808211000001102","Prednisolone 5mg tablets (Almus Pharmaceuticals Ltd)",5,"tablet","Prednisolone 5mg (Almus Pharmaceuticals Ltd) 28 tablets",28,"2 x 14 tablets"
"Presentation","AMP","0603020T0AAACAC","Prednisolone 5mg tablets","10410111000001103","Prednisolone 5mg tablets (Arrow Generics Ltd)",5,,,,
"Pack","AMPP","0603020T0AAACAC","Prednisolone 5mg tablets","10410211000001109","Prednisolone 5mg tablets (Arrow Generics Ltd)",5,"tablet","Prednisolone 5mg (Arrow Generics Ltd) 28 tablets",28,
"Presentation","AMP",,,"13245511000001105","Prednisolone 5mg tablets (Dowelhurst Ltd)",5,,,,
"Pack","AMPP",,,"13245611000001109","Prednisolone 5mg tablets (Dowelhurst Ltd)",5,"tablet","Prednisolone 5mg (Dowelhurst Ltd) 28 tablets",28,
"Presentation","AMP","0603020T0AAACAC","Prednisolone 5mg tablets","14786811000001101","Prednisolone 5mg tablets (Boston Healthcare Ltd)",5,,,,
"Pack","AMPP","0603020T0AAACAC","Prednisolone 5mg tablets","14786911000001106","Prednisolone 5mg tablets (Boston Healthcare Ltd)",5,"tablet","Prednisolone 5mg (Boston Healthcare Ltd) 100 tablets",100,
"Presentation","AMP","0603020T0AAACAC","Prednisolone 5mg tablets","18285211000001104","Prednisolone 5mg tablets (Strides Pharma UK Ltd)",5,,,,
"Pack","AMPP","0603020T0AAACAC","Prednisolone 5mg tablets","18285311000001107","Prednisolone 5mg tablets (Strides Pharma UK Ltd)",5,"tablet","Prednisolone 5mg (Strides Pharma UK Ltd) 28 tablets",28,"2 x 14 tablets"
"Presentation","AMP","0603020T0AAACAC","Prednisolone 5mg tablets","18625211000001107","Prednisolone 5mg tablets (Phoenix Healthcare Distribution Ltd)",5,,,,
"Pack","AMPP","0603020T0AAACAC","Prednisolone 5mg tablets","18625311000001104","Prednisolone 5mg tablets (Phoenix Healthcare Distribution Ltd)",5,"tablet","Prednisolone 5mg (Phoenix Healthcare Distribution Ltd) 28 tablets",28,
"Presentation","AMP","0603020T0AAACAC","Prednisolone 5mg tablets","21851411000001106","Prednisolone 5mg tablets (Waymade Healthcare Plc)",5,,,,
"Pack","AMPP","0603020T0AAACAC","Prednisolone 5mg tablets","21851511000001105","Prednisolone 5mg tablets (Waymade Healthcare Plc)",5,"tablet","Prednisolone 5mg (Waymade Healthcare Plc) 28 tablets",28,
"Presentation","AMP","0603020T0AAACAC","Prednisolone 5mg tablets","30115011000001109","Prednisolone 5mg tablets (DE Pharmaceuticals)",5,,,,
"Pack","AMPP","0603020T0AAACAC","Prednisolone 5mg tablets","30115111000001105","Prednisolone 5mg tablets (DE Pharmaceuticals)",5,"tablet","Prednisolone 5mg (DE Pharmaceuticals) 28 tablets",28,
"Presentation","AMP","0603020T0AAACAC","Prednisolone 5mg tablets","30859111000001105","Prednisolone 5mg tablets (Mawdsley-Brooks & Company Ltd)",5,,,,
"Pack","AMPP","0603020T0AAACAC","Prednisolone 5mg tablets","30859211000001104","Prednisolone 5mg tablets (Mawdsley-Brooks & Company Ltd)",5,"tablet","Prednisolone 5mg (Mawdsley-Brooks & Company Ltd) 28 tablets",28,
