"V1","V2","V3","V4","V5","V6"
"C811","2","C8112","Nodular sclerosis Hodgkin lymphoma, intrathorac lymph nodes","Nodular sclerosis Hodgkin lymphoma, intrathoracic lymph nodes","Nodular sclerosis Hodgkin lymphoma"
"C811","3","C8113","Nodular sclerosis Hodgkin lymphoma, intra-abd lymph nodes","Nodular sclerosis Hodgkin lymphoma, intra-abdominal lymph nodes","Nodular sclerosis Hodgkin lymphoma"
"C811","4","C8114","Nodular scler Hodgkin lymph, nodes of axilla and upper limb","Nodular sclerosis Hodgkin lymphoma, lymph nodes of axilla and upper limb","Nodular sclerosis Hodgkin lymphoma"
"C811","5","C8115","Nodlr scler Hdgkn lymph, nodes of ing region and lower limb","Nodular sclerosis Hodgkin lymphoma, lymph nodes of inguinal region and lower limb","Nodular sclerosis Hodgkin lymphoma"
"C811","6","C8116","Nodular sclerosis Hodgkin lymphoma, intrapelvic lymph nodes","Nodular sclerosis Hodgkin lymphoma, intrapelvic lymph nodes","Nodular sclerosis Hodgkin lymphoma"
"C811","7","C8117","Nodular sclerosis Hodgkin lymphoma, spleen","Nodular sclerosis Hodgkin lymphoma, spleen","Nodular sclerosis Hodgkin lymphoma"
"C811","8","C8118","Nodular sclerosis Hodgkin lymphoma, lymph nodes mult site","Nodular sclerosis Hodgkin lymphoma, lymph nodes of multiple sites","Nodular sclerosis Hodgkin lymphoma"
"C811","9","C8119","Nodular scler Hodgkin lymph, extrnod and solid organ sites","Nodular sclerosis Hodgkin lymphoma, extranodal and solid organ sites","Nodular sclerosis Hodgkin lymphoma"
"C812","0","C8120","Mixed cellularity Hodgkin lymphoma, unspecified site","Mixed cellularity Hodgkin lymphoma, unspecified site","Mixed cellularity Hodgkin lymphoma"
"C812","1","C8121","Mixed cellular Hodgkin lymph, nodes of head, face, and neck","Mixed cellularity Hodgkin lymphoma, lymph nodes of head, face, and neck","Mixed cellularity Hodgkin lymphoma"
"C812","2","C8122","Mixed cellularity Hodgkin lymphoma, intrathorac lymph nodes","Mixed cellularity Hodgkin lymphoma, intrathoracic lymph nodes","Mixed cellularity Hodgkin lymphoma"
"C812","3","C8123","Mixed cellularity Hodgkin lymphoma, intra-abd lymph nodes","Mixed cellularity Hodgkin lymphoma, intra-abdominal lymph nodes","Mixed cellularity Hodgkin lymphoma"
"C812","4","C8124","Mixed cellular Hodgkin lymph, nodes of axilla and upper limb","Mixed cellularity Hodgkin lymphoma, lymph nodes of axilla and upper limb","Mixed cellularity Hodgkin lymphoma"
"C812","5","C8125","Mixed cellular Hdgkn lymph, nodes of ing rgn and lower limb","Mixed cellularity Hodgkin lymphoma, lymph nodes of inguinal region and lower limb","Mixed cellularity Hodgkin lymphoma"
"C812","6","C8126","Mixed cellularity Hodgkin lymphoma, intrapelvic lymph nodes","Mixed cellularity Hodgkin lymphoma, intrapelvic lymph nodes","Mixed cellularity Hodgkin lymphoma"
"C812","7","C8127","Mixed cellularity Hodgkin lymphoma, spleen","Mixed cellularity Hodgkin lymphoma, spleen","Mixed cellularity Hodgkin lymphoma"
"C812","8","C8128","Mixed cellularity Hodgkin lymphoma, lymph nodes mult site","Mixed cellularity Hodgkin lymphoma, lymph nodes of multiple sites","Mixed cellularity Hodgkin lymphoma"
"C812","9","C8129","Mixed cellular Hodgkin lymph, extrnod and solid organ sites","Mixed cellularity Hodgkin lymphoma, extranodal and solid organ sites","Mixed cellularity Hodgkin lymphoma"
"C813","0","C8130","Lymphocyte depleted Hodgkin lymphoma, unspecified site","Lymphocyte depleted Hodgkin lymphoma, unspecified site","Lymphocyte depleted Hodgkin lymphoma"
"C813","1","C8131","Lymphocy deplet Hodgkin lymph, nodes of head, face, and neck","Lymphocyte depleted Hodgkin lymphoma, lymph nodes of head, face, and neck","Lymphocyte depleted Hodgkin lymphoma"
"C813","2","C8132","Lymphocyte depleted Hodgkin lymphoma, intrathorac nodes","Lymphocyte depleted Hodgkin lymphoma, intrathoracic lymph nodes","Lymphocyte depleted Hodgkin lymphoma"
"C813","3","C8133","Lymphocyte depleted Hodgkin lymphoma, intra-abd lymph nodes","Lymphocyte depleted Hodgkin lymphoma, intra-abdominal lymph nodes","Lymphocyte depleted Hodgkin lymphoma"
"C813","4","C8134","Lymphocy deplet Hdgkn lymph, nodes of axilla and upper limb","Lymphocyte depleted Hodgkin lymphoma, lymph nodes of axilla and upper limb","Lymphocyte depleted Hodgkin lymphoma"
"C813","5","C8135","Lymphocy deplet Hdgkn lymph, nodes of ing rgn and lower limb","Lymphocyte depleted Hodgkin lymphoma, lymph nodes of inguinal region and lower limb","Lymphocyte depleted Hodgkin lymphoma"
"C813","6","C8136","Lymphocyte depleted Hodgkin lymphoma, intrapelv lymph nodes","Lymphocyte depleted Hodgkin lymphoma, intrapelvic lymph nodes","Lymphocyte depleted Hodgkin lymphoma"
"C813","7","C8137","Lymphocyte depleted Hodgkin lymphoma, spleen","Lymphocyte depleted Hodgkin lymphoma, spleen","Lymphocyte depleted Hodgkin lymphoma"
"C813","8","C8138","Lymphocyte depleted Hodgkin lymphoma, lymph nodes mult site","Lymphocyte depleted Hodgkin lymphoma, lymph nodes of multiple sites","Lymphocyte depleted Hodgkin lymphoma"
"C813","9","C8139","Lymphocy deplet Hodgkin lymph, extrnod and solid organ sites","Lymphocyte depleted Hodgkin lymphoma, extranodal and solid organ sites","Lymphocyte depleted Hodgkin lymphoma"
"C814","0","C8140","Lymphocyte-rich Hodgkin lymphoma, unspecified site","Lymphocyte-rich Hodgkin lymphoma, unspecified site","Lymphocyte-rich Hodgkin lymphoma"
"C814","1","C8141","Lymp-rich Hodgkin lymphoma, nodes of head, face, and neck","Lymphocyte-rich Hodgkin lymphoma, lymph nodes of head, face, and neck","Lymphocyte-rich Hodgkin lymphoma"
"C814","2","C8142","Lymphocyte-rich Hodgkin lymphoma, intrathoracic lymph nodes","Lymphocyte-rich Hodgkin lymphoma, intrathoracic lymph nodes","Lymphocyte-rich Hodgkin lymphoma"
"C814","3","C8143","Lymphocyte-rich Hodgkin lymphoma, intra-abd lymph nodes","Lymphocyte-rich Hodgkin lymphoma, intra-abdominal lymph nodes","Lymphocyte-rich Hodgkin lymphoma"
"C814","4","C8144","Lymp-rich Hodgkin lymphoma, nodes of axilla and upper limb","Lymphocyte-rich Hodgkin lymphoma, lymph nodes of axilla and upper limb","Lymphocyte-rich Hodgkin lymphoma"
"C814","5","C8145","Lymp-rich Hodgkin lymph, nodes of ing region and lower limb","Lymphocyte-rich Hodgkin lymphoma, lymph nodes of inguinal region and lower limb","Lymphocyte-rich Hodgkin lymphoma"
"C814","6","C8146","Lymphocyte-rich Hodgkin lymphoma, intrapelvic lymph nodes","Lymphocyte-rich Hodgkin lymphoma, intrapelvic lymph nodes","Lymphocyte-rich Hodgkin lymphoma"
"C814","7","C8147","Lymphocyte-rich Hodgkin lymphoma, spleen","Lymphocyte-rich Hodgkin lymphoma, spleen","Lymphocyte-rich Hodgkin lymphoma"
"C814","8","C8148","Lymphocyte-rich Hodgkin lymphoma, lymph nodes mult site","Lymphocyte-rich Hodgkin lymphoma, lymph nodes of multiple sites","Lymphocyte-rich Hodgkin lymphoma"
"C814","9","C8149","Lymp-rich Hodgkin lymphoma, extranodal and solid organ sites","Lymphocyte-rich Hodgkin lymphoma, extranodal and solid organ sites","Lymphocyte-rich Hodgkin lymphoma"
"C817","0","C8170","Other Hodgkin lymphoma, unspecified site","Other Hodgkin lymphoma, unspecified site","Other Hodgkin lymphoma"
"C817","1","C8171","Other Hodgkin lymphoma, lymph nodes of head, face, and neck","Other Hodgkin lymphoma, lymph nodes of head, face, and neck","Other Hodgkin lymphoma"
"C817","2","C8172","Other Hodgkin lymphoma, intrathoracic lymph nodes","Other Hodgkin lymphoma, intrathoracic lymph nodes","Other Hodgkin lymphoma"
"C817","3","C8173","Other Hodgkin lymphoma, intra-abdominal lymph nodes","Other Hodgkin lymphoma, intra-abdominal lymph nodes","Other Hodgkin lymphoma"
"C817","4","C8174","Other Hodgkin lymphoma, lymph nodes of axilla and upper limb","Other Hodgkin lymphoma, lymph nodes of axilla and upper limb","Other Hodgkin lymphoma"
"C817","5","C8175","Other Hodgkin lymphoma, nodes of ing region and lower limb","Other Hodgkin lymphoma, lymph nodes of inguinal region and lower limb","Other Hodgkin lymphoma"
"C817","6","C8176","Other Hodgkin lymphoma, intrapelvic lymph nodes","Other Hodgkin lymphoma, intrapelvic lymph nodes","Other Hodgkin lymphoma"
"C817","7","C8177","Other Hodgkin lymphoma, spleen","Other Hodgkin lymphoma, spleen","Other Hodgkin lymphoma"
"C817","8","C8178","Other Hodgkin lymphoma, lymph nodes of multiple sites","Other Hodgkin lymphoma, lymph nodes of multiple sites","Other Hodgkin lymphoma"
"C817","9","C8179","Other Hodgkin lymphoma, extranodal and solid organ sites","Other Hodgkin lymphoma, extranodal and solid organ sites","Other Hodgkin lymphoma"
"C819","0","C8190","Hodgkin lymphoma, unspecified, unspecified site","Hodgkin lymphoma, unspecified, unspecified site","Hodgkin lymphoma, unspecified"
"C819","1","C8191","Hodgkin lymphoma, unsp, lymph nodes of head, face, and neck","Hodgkin lymphoma, unspecified, lymph nodes of head, face, and neck","Hodgkin lymphoma, unspecified"
"C819","2","C8192","Hodgkin lymphoma, unspecified, intrathoracic lymph nodes","Hodgkin lymphoma, unspecified, intrathoracic lymph nodes","Hodgkin lymphoma, unspecified"
"C819","3","C8193","Hodgkin lymphoma, unspecified, intra-abdominal lymph nodes","Hodgkin lymphoma, unspecified, intra-abdominal lymph nodes","Hodgkin lymphoma, unspecified"
"C819","4","C8194","Hodgkin lymphoma, unsp, lymph nodes of axilla and upper limb","Hodgkin lymphoma, unspecified, lymph nodes of axilla and upper limb","Hodgkin lymphoma, unspecified"
"C819","5","C8195","Hodgkin lymphoma, unsp, nodes of ing region and lower limb","Hodgkin lymphoma, unspecified, lymph nodes of inguinal region and lower limb","Hodgkin lymphoma, unspecified"
"C819","6","C8196","Hodgkin lymphoma, unspecified, intrapelvic lymph nodes","Hodgkin lymphoma, unspecified, intrapelvic lymph nodes","Hodgkin lymphoma, unspecified"
"C819","7","C8197","Hodgkin lymphoma, unspecified, spleen","Hodgkin lymphoma, unspecified, spleen","Hodgkin lymphoma, unspecified"
"C819","8","C8198","Hodgkin lymphoma, unspecified, lymph nodes of multiple sites","Hodgkin lymphoma, unspecified, lymph nodes of multiple sites","Hodgkin lymphoma, unspecified"
"C819","9","C8199","Hodgkin lymphoma, unsp, extranodal and solid organ sites","Hodgkin lymphoma, unspecified, extranodal and solid organ sites","Hodgkin lymphoma, unspecified"
"C820","0","C8200","Follicular lymphoma grade I, unspecified site","Follicular lymphoma grade I, unspecified site","Follicular lymphoma grade I"
"C820","1","C8201","Follicular lymphoma grade I, nodes of head, face, and neck","Follicular lymphoma grade I, lymph nodes of head, face, and neck","Follicular lymphoma grade I"
"C820","2","C8202","Follicular lymphoma grade I, intrathoracic lymph nodes","Follicular lymphoma grade I, intrathoracic lymph nodes","Follicular lymphoma grade I"
"C820","3","C8203","Follicular lymphoma grade I, intra-abdominal lymph nodes","Follicular lymphoma grade I, intra-abdominal lymph nodes","Follicular lymphoma grade I"
"C820","4","C8204","Follicular lymphoma grade I, nodes of axilla and upper limb","Follicular lymphoma grade I, lymph nodes of axilla and upper limb","Follicular lymphoma grade I"
"C820","5","C8205","Foliclar lymph grade I, nodes of ing region and lower limb","Follicular lymphoma grade I, lymph nodes of inguinal region and lower limb","Follicular lymphoma grade I"
"C820","6","C8206","Follicular lymphoma grade I, intrapelvic lymph nodes","Follicular lymphoma grade I, intrapelvic lymph nodes","Follicular lymphoma grade I"
"C820","7","C8207","Follicular lymphoma grade I, spleen","Follicular lymphoma grade I, spleen","Follicular lymphoma grade I"
"C820","8","C8208","Follicular lymphoma grade I, lymph nodes of multiple sites","Follicular lymphoma grade I, lymph nodes of multiple sites","Follicular lymphoma grade I"
"C820","9","C8209","Follicular lymphoma grade I, extrnod and solid organ sites","Follicular lymphoma grade I, extranodal and solid organ sites","Follicular lymphoma grade I"
"C821","0","C8210","Follicular lymphoma grade II, unspecified site","Follicular lymphoma grade II, unspecified site","Follicular lymphoma grade II"
"C821","1","C8211","Follicular lymphoma grade II, nodes of head, face, and neck","Follicular lymphoma grade II, lymph nodes of head, face, and neck","Follicular lymphoma grade II"
"C821","2","C8212","Follicular lymphoma grade II, intrathoracic lymph nodes","Follicular lymphoma grade II, intrathoracic lymph nodes","Follicular lymphoma grade II"
"C821","3","C8213","Follicular lymphoma grade II, intra-abdominal lymph nodes","Follicular lymphoma grade II, intra-abdominal lymph nodes","Follicular lymphoma grade II"
"C821","4","C8214","Follicular lymphoma grade II, nodes of axilla and upper limb","Follicular lymphoma grade II, lymph nodes of axilla and upper limb","Follicular lymphoma grade II"
"C821","5","C8215","Foliclar lymph grade II, nodes of ing region and lower limb","Follicular lymphoma grade II, lymph nodes of inguinal region and lower limb","Follicular lymphoma grade II"
"C821","6","C8216","Follicular lymphoma grade II, intrapelvic lymph nodes","Follicular lymphoma grade II, intrapelvic lymph nodes","Follicular lymphoma grade II"
"C821","7","C8217","Follicular lymphoma grade II, spleen","Follicular lymphoma grade II, spleen","Follicular lymphoma grade II"
"C821","8","C8218","Follicular lymphoma grade II, lymph nodes of multiple sites","Follicular lymphoma grade II, lymph nodes of multiple sites","Follicular lymphoma grade II"
"C821","9","C8219","Follicular lymphoma grade II, extrnod and solid organ sites","Follicular lymphoma grade II, extranodal and solid organ sites","Follicular lymphoma grade II"
"C822","0","C8220","Follicular lymphoma grade III, unspecified, unspecified site","Follicular lymphoma grade III, unspecified, unspecified site","Follicular lymphoma grade III, unspecified"
"C822","1","C8221","Foliclar lymph grade III, unsp, nodes of head, face, and nk","Follicular lymphoma grade III, unspecified, lymph nodes of head, face, and neck","Follicular lymphoma grade III, unspecified"
"C822","2","C8222","Follicular lymphoma grade III, unsp, intrathorac lymph nodes","Follicular lymphoma grade III, unspecified, intrathoracic lymph nodes","Follicular lymphoma grade III, unspecified"
"C822","3","C8223","Follicular lymphoma grade III, unsp, intra-abd lymph nodes","Follicular lymphoma grade III, unspecified, intra-abdominal lymph nodes","Follicular lymphoma grade III, unspecified"
"C822","4","C8224","Foliclar lymph grade III, unsp, nodes of axla and upper limb","Follicular lymphoma grade III, unspecified, lymph nodes of axilla and upper limb","Follicular lymphoma grade III, unspecified"
"C822","5","C8225","Foliclar lymph grade III, unsp, nodes of ing rgn and low lmb","Follicular lymphoma grade III, unspecified, lymph nodes of inguinal region and lower limb","Follicular lymphoma grade III, unspecified"
"C822","6","C8226","Follicular lymphoma grade III, unsp, intrapelvic lymph nodes","Follicular lymphoma grade III, unspecified, intrapelvic lymph nodes","Follicular lymphoma grade III, unspecified"
"C822","7","C8227","Follicular lymphoma grade III, unspecified, spleen","Follicular lymphoma grade III, unspecified, spleen","Follicular lymphoma grade III, unspecified"
"C822","8","C8228","Follicular lymphoma grade III, unsp, lymph nodes mult site","Follicular lymphoma grade III, unspecified, lymph nodes of multiple sites","Follicular lymphoma grade III, unspecified"
"C822","9","C8229","Foliclar lymph grade III, unsp, extrnod and solid org sites","Follicular lymphoma grade III, unspecified, extranodal and solid organ sites","Follicular lymphoma grade III, unspecified"
"C823","0","C8230","Follicular lymphoma grade IIIa, unspecified site","Follicular lymphoma grade IIIa, unspecified site","Follicular lymphoma grade IIIa"
"C823","1","C8231","Foliclar lymphoma grade IIIa, nodes of head, face, and neck","Follicular lymphoma grade IIIa, lymph nodes of head, face, and neck","Follicular lymphoma grade IIIa"
"C823","2","C8232","Follicular lymphoma grade IIIa, intrathoracic lymph nodes","Follicular lymphoma grade IIIa, intrathoracic lymph nodes","Follicular lymphoma grade IIIa"
"C823","3","C8233","Follicular lymphoma grade IIIa, intra-abdominal lymph nodes","Follicular lymphoma grade IIIa, intra-abdominal lymph nodes","Follicular lymphoma grade IIIa"
"C823","4","C8234","Foliclar lymphoma grade IIIa, nodes of axilla and upper limb","Follicular lymphoma grade IIIa, lymph nodes of axilla and upper limb","Follicular lymphoma grade IIIa"
"C823","5","C8235","Foliclar lymph grade IIIa, nodes of ing rgn and lower limb","Follicular lymphoma grade IIIa, lymph nodes of inguinal region and lower limb","Follicular lymphoma grade IIIa"
"C823","6","C8236","Follicular lymphoma grade IIIa, intrapelvic lymph nodes","Follicular lymphoma grade IIIa, intrapelvic lymph nodes","Follicular lymphoma grade IIIa"
"C823","7","C8237","Follicular lymphoma grade IIIa, spleen","Follicular lymphoma grade IIIa, spleen","Follicular lymphoma grade IIIa"
"C823","8","C8238","Follicular lymphoma grade IIIa, lymph nodes mult site","Follicular lymphoma grade IIIa, lymph nodes of multiple sites","Follicular lymphoma grade IIIa"
"C823","9","C8239","Foliclar lymphoma grade IIIa, extrnod and solid organ sites","Follicular lymphoma grade IIIa, extranodal and solid organ sites","Follicular lymphoma grade IIIa"
"C824","0","C8240","Follicular lymphoma grade IIIb, unspecified site","Follicular lymphoma grade IIIb, unspecified site","Follicular lymphoma grade IIIb"
"C824","1","C8241","Foliclar lymphoma grade IIIb, nodes of head, face, and neck","Follicular lymphoma grade IIIb, lymph nodes of head, face, and neck","Follicular lymphoma grade IIIb"
"C824","2","C8242","Follicular lymphoma grade IIIb, intrathoracic lymph nodes","Follicular lymphoma grade IIIb, intrathoracic lymph nodes","Follicular lymphoma grade IIIb"
"C824","3","C8243","Follicular lymphoma grade IIIb, intra-abdominal lymph nodes","Follicular lymphoma grade IIIb, intra-abdominal lymph nodes","Follicular lymphoma grade IIIb"
"C824","4","C8244","Foliclar lymphoma grade IIIb, nodes of axilla and upper limb","Follicular lymphoma grade IIIb, lymph nodes of axilla and upper limb","Follicular lymphoma grade IIIb"
"C824","5","C8245","Foliclar lymph grade IIIb, nodes of ing rgn and lower limb","Follicular lymphoma grade IIIb, lymph nodes of inguinal region and lower limb","Follicular lymphoma grade IIIb"
"C824","6","C8246","Follicular lymphoma grade IIIb, intrapelvic lymph nodes","Follicular lymphoma grade IIIb, intrapelvic lymph nodes","Follicular lymphoma grade IIIb"
"C824","7","C8247","Follicular lymphoma grade IIIb, spleen","Follicular lymphoma grade IIIb, spleen","Follicular lymphoma grade IIIb"
"C824","8","C8248","Follicular lymphoma grade IIIb, lymph nodes mult site","Follicular lymphoma grade IIIb, lymph nodes of multiple sites","Follicular lymphoma grade IIIb"
"C824","9","C8249","Foliclar lymphoma grade IIIb, extrnod and solid organ sites","Follicular lymphoma grade IIIb, extranodal and solid organ sites","Follicular lymphoma grade IIIb"
"C825","0","C8250","Diffuse follicle center lymphoma, unspecified site","Diffuse follicle center lymphoma, unspecified site","Diffuse follicle center lymphoma"
"C825","1","C8251","Diffuse folicl center lymph, nodes of head, face, and neck","Diffuse follicle center lymphoma, lymph nodes of head, face, and neck","Diffuse follicle center lymphoma"
"C825","2","C8252","Diffuse follicle center lymphoma, intrathoracic lymph nodes","Diffuse follicle center lymphoma, intrathoracic lymph nodes","Diffuse follicle center lymphoma"
"C825","3","C8253","Diffuse follicle center lymphoma, intra-abd lymph nodes","Diffuse follicle center lymphoma, intra-abdominal lymph nodes","Diffuse follicle center lymphoma"
"C825","4","C8254","Diffuse folicl center lymph, nodes of axilla and upper limb","Diffuse follicle center lymphoma, lymph nodes of axilla and upper limb","Diffuse follicle center lymphoma"
"C825","5","C8255","Diffus folicl cntr lymph, nodes of ing region and lower limb","Diffuse follicle center lymphoma, lymph nodes of inguinal region and lower limb","Diffuse follicle center lymphoma"
"C825","6","C8256","Diffuse follicle center lymphoma, intrapelvic lymph nodes","Diffuse follicle center lymphoma, intrapelvic lymph nodes","Diffuse follicle center lymphoma"
"C825","7","C8257","Diffuse follicle center lymphoma, spleen","Diffuse follicle center lymphoma, spleen","Diffuse follicle center lymphoma"
"C825","8","C8258","Diffuse follicle center lymphoma, lymph nodes mult site","Diffuse follicle center lymphoma, lymph nodes of multiple sites","Diffuse follicle center lymphoma"
"C825","9","C8259","Diffuse folicl center lymph, extrnod and solid organ sites","Diffuse follicle center lymphoma, extranodal and solid organ sites","Diffuse follicle center lymphoma"
"C826","0","C8260","Cutaneous follicle center lymphoma, unspecified site","Cutaneous follicle center lymphoma, unspecified site","Cutaneous follicle center lymphoma"
"C826","1","C8261","Cutan folicl center lymphoma, nodes of head, face, and neck","Cutaneous follicle center lymphoma, lymph nodes of head, face, and neck","Cutaneous follicle center lymphoma"
"C826","2","C8262","Cutaneous follicle center lymphoma, intrathorac lymph nodes","Cutaneous follicle center lymphoma, intrathoracic lymph nodes","Cutaneous follicle center lymphoma"
"C826","3","C8263","Cutaneous follicle center lymphoma, intra-abd lymph nodes","Cutaneous follicle center lymphoma, intra-abdominal lymph nodes","Cutaneous follicle center lymphoma"
"C826","4","C8264","Cutan folicl center lymphoma, nodes of axilla and upper limb","Cutaneous follicle center lymphoma, lymph nodes of axilla and upper limb","Cutaneous follicle center lymphoma"
"C826","5","C8265","Cutan folicl cntr lymph, nodes of ing region and lower limb","Cutaneous follicle center lymphoma, lymph nodes of inguinal region and lower limb","Cutaneous follicle center lymphoma"
"C826","6","C8266","Cutaneous follicle center lymphoma, intrapelvic lymph nodes","Cutaneous follicle center lymphoma, intrapelvic lymph nodes","Cutaneous follicle center lymphoma"
"C826","7","C8267","Cutaneous follicle center lymphoma, spleen","Cutaneous follicle center lymphoma, spleen","Cutaneous follicle center lymphoma"
"C826","8","C8268","Cutaneous follicle center lymphoma, lymph nodes mult site","Cutaneous follicle center lymphoma, lymph nodes of multiple sites","Cutaneous follicle center lymphoma"
"C826","9","C8269","Cutan folicl center lymphoma, extrnod and solid organ sites","Cutaneous follicle center lymphoma, extranodal and solid organ sites","Cutaneous follicle center lymphoma"
"C828","0","C8280","Other types of follicular lymphoma, unspecified site","Other types of follicular lymphoma, unspecified site","Other types of follicular lymphoma"
"C828","1","C8281","Oth types of foliclar lymph, nodes of head, face, and neck","Other types of follicular lymphoma, lymph nodes of head, face, and neck","Other types of follicular lymphoma"
"C828","2","C8282","Oth types of follicular lymphoma, intrathoracic lymph nodes","Other types of follicular lymphoma, intrathoracic lymph nodes","Other types of follicular lymphoma"
"C828","3","C8283","Oth types of follicular lymphoma, intra-abd lymph nodes","Other types of follicular lymphoma, intra-abdominal lymph nodes","Other types of follicular lymphoma"
"C828","4","C8284","Oth types of foliclar lymph, nodes of axilla and upper limb","Other types of follicular lymphoma, lymph nodes of axilla and upper limb","Other types of follicular lymphoma"
"C828","5","C8285","Oth types of foliclar lymph, nodes of ing rgn and lower limb","Other types of follicular lymphoma, lymph nodes of inguinal region and lower limb","Other types of follicular lymphoma"
"C828","6","C8286","Other types of follicular lymphoma, intrapelvic lymph nodes","Other types of follicular lymphoma, intrapelvic lymph nodes","Other types of follicular lymphoma"
"C828","7","C8287","Other types of follicular lymphoma, spleen","Other types of follicular lymphoma, spleen","Other types of follicular lymphoma"
"C828","8","C8288","Oth types of follicular lymphoma, lymph nodes mult site","Other types of follicular lymphoma, lymph nodes of multiple sites","Other types of follicular lymphoma"
"C828","9","C8289","Oth types of foliclar lymph, extrnod and solid organ sites","Other types of follicular lymphoma, extranodal and solid organ sites","Other types of follicular lymphoma"
"C829","0","C8290","Follicular lymphoma, unspecified, unspecified site","Follicular lymphoma, unspecified, unspecified site","Follicular lymphoma, unspecified"
"C829","1","C8291","Follicular lymphoma, unsp, nodes of head, face, and neck","Follicular lymphoma, unspecified, lymph nodes of head, face, and neck","Follicular lymphoma, unspecified"
"C829","2","C8292","Follicular lymphoma, unspecified, intrathoracic lymph nodes","Follicular lymphoma, unspecified, intrathoracic lymph nodes","Follicular lymphoma, unspecified"
"C829","3","C8293","Follicular lymphoma, unsp, intra-abdominal lymph nodes","Follicular lymphoma, unspecified, intra-abdominal lymph nodes","Follicular lymphoma, unspecified"
"C829","4","C8294","Follicular lymphoma, unsp, nodes of axilla and upper limb","Follicular lymphoma, unspecified, lymph nodes of axilla and upper limb","Follicular lymphoma, unspecified"
"C829","5","C8295","Foliclar lymphoma, unsp, nodes of ing region and lower limb","Follicular lymphoma, unspecified, lymph nodes of inguinal region and lower limb","Follicular lymphoma, unspecified"
"C829","6","C8296","Follicular lymphoma, unspecified, intrapelvic lymph nodes","Follicular lymphoma, unspecified, intrapelvic lymph nodes","Follicular lymphoma, unspecified"
"C829","7","C8297","Follicular lymphoma, unspecified, spleen","Follicular lymphoma, unspecified, spleen","Follicular lymphoma, unspecified"
"C829","8","C8298","Follicular lymphoma, unsp, lymph nodes of multiple sites","Follicular lymphoma, unspecified, lymph nodes of multiple sites","Follicular lymphoma, unspecified"
"C829","9","C8299","Follicular lymphoma, unsp, extranodal and solid organ sites","Follicular lymphoma, unspecified, extranodal and solid organ sites","Follicular lymphoma, unspecified"
"C830","0","C8300","Small cell B-cell lymphoma, unspecified site","Small cell B-cell lymphoma, unspecified site","Small cell B-cell lymphoma"
"C830","1","C8301","Small cell B-cell lymphoma, nodes of head, face, and neck","Small cell B-cell lymphoma, lymph nodes of head, face, and neck","Small cell B-cell lymphoma"
"C830","2","C8302","Small cell B-cell lymphoma, intrathoracic lymph nodes","Small cell B-cell lymphoma, intrathoracic lymph nodes","Small cell B-cell lymphoma"
